"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"MAP_2424c",68.2010786430026,0.723427236481391,0.208346514503347,3.47223104838535,0.000516151904386807,0.000996564928576392,0.723427236481391,1.65109969760387
"MAP_2804",28.8815681328004,0.989324166074696,0.285364182697971,3.46688276265489,0.000526531486381141,0.00101570375421639,0.989324166074696,1.98525477568604
"MAP_2240c",60.8064077976846,0.826048983473593,0.238445355363644,3.46431148643603,0.000531590581330187,0.00102500843474571,0.826048983473593,1.77282358961576
"MAP_2772c",74.4352912619659,-0.728479303755863,0.210500974180498,-3.46069326563408,0.000538786334269081,0.0010376545364235,0.728479303755863,-1.65689169713176
"MAP_1550c",92.8429404092513,0.614743948836825,0.17903341728744,3.43368270656336,0.000595440758680882,0.00114558482983717,0.614743948836825,1.53128619855254
"MAP_2774c",120.39293051164,-0.607824229419772,0.177067007229578,-3.4327356571385,0.00059752435977107,0.00114908530725206,0.607824229419772,-1.52395914764559
"MAP_3505c",27.5511580441928,-1.36222524421314,0.397130829728851,-3.43016744669063,0.000603208877796142,0.00115950447123872,1.36222524421314,-2.57081401809371
"MAP_3624",137.48198315051,0.648417767537029,0.189325715559414,3.42487952902279,0.000615072091791922,0.00118126428224939,0.648417767537029,1.56744820104448
"MAP_4070c",247.520408061857,-0.611225457170963,0.17871408120007,-3.42013037286467,0.0006259113100424,0.00119996218540522,0.611225457170963,-1.5275561981573
"MAP_1538",68.2896186705918,-0.808119484034788,0.236341610672575,-3.41928567608159,0.00062785771723017,0.00120263367236955,0.808119484034788,-1.75092766525122
"MAP_1991c",191.196620951375,-0.701308514974073,0.205098614789273,-3.41937226487184,0.000627657934787109,0.00120263367236955,0.701308514974073,-1.62597887633437
"MAP_3497",82.7800516501014,-0.866187367066888,0.253502005169479,-3.41688566324277,0.000633418760641884,0.00121221804170356,0.866187367066888,-1.82283928342471
"MAP_2145c",211.508665095545,0.698904511685994,0.204566879424992,3.41650864328826,0.000634296502366235,0.00121336402167683,0.698904511685994,1.62327171817406
"MAP_3303",328.210335908612,0.619119053089871,0.181696300235828,3.40743896428436,0.000655755728016197,0.0012533116945828,0.619119053089871,1.53593701201236
